Day,Soil Moisture (%),Soil Temperature (°C),Soil NPK (mg/kg),Air Temperature (°C),Humidity (%),Rainfall (mm),NDVI
2025-01-01,32.483570765056164,25.291232648044122,218.7700204329502,33.76509315626446,70.19346514241172,5,0.582305277250595
2025-01-02,29.308678494144075,27.90593497159867,174.28527330751152,22.256551395282244,80.32738913002578,3,0.5201702755461546
2025-01-03,33.23844269050346,22.893840718367944,167.87322505816664,32.65265500861984,63.91239851543143,3,0.46206807719854726
2025-01-04,37.61514928204013,24.017013560206696,214.47417245729557,28.04093224407835,69.01711722098942,5,0.526906996005808
2025-01-05,28.829233126383322,23.823675540603528,193.29611644022447,24.073965395808195,71.90143991711112,6,0.5966873027126203
2025-01-06,28.8293152152541,20.609455155603644,221.42001482276277,29.84841389705308,60.987795281141636,5,0.7794557863517788
2025-01-07,37.896064077536955,25.88836083119373,214.19712873720636,28.79623878229388,67.24092481810416,3,0.5482388700963828
2025-01-08,33.837173645764544,25.783165816539668,197.8151326202938,25.59913249136482,65.12592400781794,5,0.6223787951638898
2025-01-09,27.65262807032524,25.015340369927383,174.59618845794785,28.279208339960075,65.97676098548831,3,0.5983577103927248
2025-01-10,32.712800217929825,24.29623859987456,154.55458325942408,26.45874561255296,57.26990216144534,3,0.7188393273448084
2025-01-11,27.682911535937688,20.753887773848756,186.60455143798936,28.45406938100499,65.24510174258943,6,0.8
2025-01-12,27.671351232148716,23.738064031703924,225.69196382970418,30.648522698084186,69.9799829124545,5,0.5469131227079679
2025-01-13,31.20981135783017,23.971856450419693,206.42281232390613,34.34406726458141,79.51143607795042,6,0.5510560557481777
2025-01-14,20.43359877671101,22.593168192335142,162.62783663864036,23.048738004692602,74.59270826085206,2,0.7044160877069072
2025-01-15,21.375410837434835,24.516142865001974,205.19542777553545,36.532133498625065,86.53182457511556,4,0.6681891489626312
2025-01-16,27.188562353795135,26.212152570443614,211.5595213918651,20.19164880190999,57.326524371119504,7,0.7846707325736033
2025-01-17,24.93584439832788,30.65855770363159,173.484276913966,27.392859619857667,73.72320636720679,6,0.6583928185325963
2025-01-18,31.571236662976368,25.523733438495515,204.61175317836583,30.353268825938308,66.83342005738352,5,0.564070790921294
2025-01-19,25.459879622393945,25.772651172168292,201.74626155338,29.12396747094013,86.89802933217672,4,0.6590654830692309
2025-01-20,22.938481493323543,24.7766622527015,165.7108910650813,25.509201920717626,56.91701714644849,3,0.7108703580582908
2025-01-21,37.32824384460777,19.243686354102877,210.73362081044849,27.1675109985709,56.602781578192236,3,0.6820482181197364
2025-01-22,28.871118497567323,24.920458373652348,216.82353579104702,26.02799626136467,59.00607354555978,7,0.6507274031107297
2025-01-23,30.33764102343962,25.18069062982308,232.4915372952583,25.642540972223152,43.76104275690193,7,0.7066674689589154
2025-01-24,22.87625906893272,32.389726337455855,231.6140615610471,31.3984083880841,59.74244978319239,6,0.7169295590445672
2025-01-25,27.278086377374088,24.422917105656634,158.66991896128727,29.42806194386019,57.40867338446302,6,0.7382158991037527
2025-01-26,30.55461294854933,25.904642027000836,171.86524880254632,25.228361618957383,66.50393786476208,7,0.6648709887589642
2025-01-27,24.245032112888488,24.89586469088427,215.4510580162598,31.598399501733002,68.4175597577716,8,0.5832881919683145
2025-01-28,31.87849009172836,21.493965887141403,215.41357852736627,29.229198083506436,83.76170839215887,6,0.6146713686433323
2025-01-29,26.996806550405974,28.42846844354506,215.45143058918143,31.25144847535584,74.5042383818605,3,0.7206508966508357
2025-01-30,28.541531251033618,27.255799098060322,250.0,30.518515367694448,59.23096344337597,7,0.5183064329012763
2025-01-31,26.991466938853016,27.373095841129143,217.126715320795,24.68401995631171,56.01585328651642,5,0.6368673308872901
2025-02-01,39.26139092254469,22.271837635615782,234.06696920541796,25.759275839212123,69.91919171506505,5,0.5606661187672639
2025-02-02,29.93251387631033,29.2083829328083,228.62005290479607,30.989174420493047,51.797667929793576,7,0.6028744822934817
2025-02-03,24.711445355220498,20.794446811623157,219.54173753917394,30.44148106173386,83.31458765854353,4,0.7278451862607298
2025-02-04,34.11272456051594,26.76057128140081,190.54192266078962,27.916393624143407,76.79440120721287,9,0.6191099068019903
2025-02-05,23.895781750144888,31.571366877429938,222.76907661479802,28.469309533235126,60.30824347895295,4,0.6046436548156149
2025-02-06,31.044317975023777,22.028391024607934,176.81524356387285,33.1106595831537,47.868654709091224,5,0.46401438590200805
2025-02-07,20.201649380601122,23.301106811191683,192.89544179779972,25.63371444465668,78.53872374165412,2,0.674625356602722
2025-02-08,23.359069755507846,25.298954095262925,185.43909356512688,30.18838952468015,63.85460154747382,6,0.6645484181141075
2025-02-09,30.984306179345616,23.489573037651404,202.45622418158968,27.191229390264425,77.37816311973462,3,0.8
2025-02-10,33.69233289997705,20.3480097068016,250.0,27.129275187091118,49.05572341205633,6,0.5692221765046999
2025-02-11,30.85684140594985,25.205688924418084,150.0,32.39510740794876,59.00624977046227,2,0.6219150327663939
2025-02-12,29.421758588058797,21.813088858821686,220.5878057112354,31.30166539595212,65.05243699718183,3,0.6249383683710755
2025-02-13,28.494481522053555,26.420777291905544,151.61852386431045,31.254038544002555,65.46980593764742,5,0.7577453279763474
2025-02-14,22.607390048162863,22.241727297298592,185.84204402631698,33.22191522861732,60.49934528520756,3,0.5904704467613048
2025-02-15,26.400778958026457,29.649803215052618,232.66851790902098,28.084015366531037,71.22849932347499,4,0.6279021525770339
2025-02-16,27.696806145201062,22.65024012299129,201.9284005728639,30.727811885179854,54.32379570617405,5,0.6607896509716539
2025-02-17,35.285611131094576,24.033815451382974,167.6676566621208,26.758932973626177,63.576205149787064,6,0.6186609123156358
2025-02-18,31.71809144784231,27.440551652109008,178.54088872220095,29.296665409953768,66.20295631711899,3,0.5553566385449471
2025-02-19,21.18479922318633,21.307407050698135,220.38793246804028,27.47942778252926,70.14438834058748,3,0.6194089992898307
2025-02-20,31.620419846973974,25.68237980381239,178.0890010484859,28.387983859970873,72.11614878088889,4,0.7073631749859772
2025-02-21,28.074588597918417,28.921428262847286,206.49375768745924,30.380628101747654,53.75357908162131,5,0.49734847005889393
2025-02-22,26.615389998470206,20.17755029631632,201.3671551971144,24.72711726706611,49.65885829264378,4,0.6132969674146875
2025-02-23,33.058381444204336,25.553901575596914,180.4519895718255,36.36954910274184,77.7767682189851,2,0.5299879185060826
2025-02-24,35.154997612479754,25.779648382745272,250.0,23.975930474001192,68.32314011979592,6,0.7195046628924843
2025-02-25,34.65640059558099,27.34546861533193,219.01757066954033,23.143245548849073,57.51513463443446,6,0.4476813095216225
2025-02-26,25.803912383886807,21.289147867365756,150.0,32.63244349400027,80.51151975522524,8,0.5441078152728411
2025-02-27,28.453938120743928,21.03863016074717,205.59362944308282,31.166650775851743,66.15674634292859,1,0.6377211875064521
2025-02-28,31.65631715701782,26.565824696850694,180.14640605694836,30.49647926820862,76.79297184063826,6,0.7565524029234341
2025-03-01,34.877725635611796,25.890954019699556,225.5730000438867,30.51338203705712,65.67518481410109,2,0.5934249738927012
2025-03-02,27.60412881077355,25.75147855103763,176.22437784701899,27.95101290861234,85.60747924881987,5,0.5444800473306801
2025-03-03,29.071705116680914,26.039344628490927,196.55790675599303,24.410982514056673,82.55340842443204,2,0.788115706944059
2025-03-04,24.46832512996986,22.959925835264528,215.1496183694137,28.303218232774906,62.51035851520926,6,0.4551986099583756
2025-03-05,24.018966879596647,25.696761091483012,225.97265582510363,25.291353153951555,74.71570950954356,4,0.4
2025-03-06,34.06262911197099,25.879217419896044,163.9911077883267,31.900478933671003,71.45375949585147,3,0.6440014450053332
2025-03-07,36.78120014285412,22.856945745920896,189.96496292477156,27.411770473991446,78.68631557532349,5,0.5497945775647388
2025-03-08,29.63994939209833,30.59732353343427,185.75164066517132,24.698011212829954,55.35076539419896,6,0.49787671828692864
2025-03-09,35.01766448946012,26.42149876273536,180.40012302278865,26.714456633388025,71.8605145999844,3,0.6708356447299353
2025-03-10,31.80818012523817,21.426089508392053,250.0,29.6517258171025,75.58424486849587,4,0.6243800713771198
2025-03-11,26.77440122697438,26.96966082590149,212.14945132882866,25.7451017887841,47.41260513576886,8,0.5435921369263271
2025-03-12,31.80697802754207,22.075954989318035,162.17348136994866,24.711118417734273,53.16741487334225,4,0.4719695601329105
2025-03-13,37.690182832329846,27.361253811227357,227.5358584116433,28.97474884596765,44.607678222398995,10,0.6872457328280145
2025-03-14,29.820869804450243,28.47578673702221,250.0,28.97986628443489,62.305931655554424,4,0.6650201177958661
